arm,segment,step,scored_px,ink_px,best_f1,best_threshold,precision,recall,iou,balanced_accuracy
loso42,pherc0139-w043,050000,433168,193692,0.7152,72,0.6658,0.7727,0.5567,0.7295
loso42,pherc0139-w043,060000,433168,193692,0.7415,88,0.6907,0.8003,0.5891,0.7552
loso42,pherc0139-w043,075000,433168,193692,0.7411,77,0.6586,0.8471,0.5886,0.7460
loso43,pherc0139-w043,010000,433168,193692,0.7575,99,0.7379,0.7783,0.6097,0.7773
loso43,pherc0139-w043,020000,433168,193692,0.7617,110,0.7622,0.7611,0.6151,0.7845
loso43,pherc0139-w043,030000,433168,193692,0.7262,92,0.6735,0.7879,0.5701,0.7394
loso43,pherc0139-w043,040000,433168,193692,0.7255,89,0.6682,0.7935,0.5693,0.7375
loso43,pherc0139-w043,050000,433168,193692,0.7135,78,0.6157,0.8484,0.5547,0.7100
loso43,pherc0139-w043,060000,433168,193692,0.7000,85,0.6438,0.7669,0.5384,0.7119
loso43,pherc0139-w043,075000,433168,193692,0.7037,90,0.6681,0.7434,0.5429,0.7223
ref42,pherc0139-w043,010000,433168,193692,0.8534,132,0.8358,0.8717,0.7442,0.8666
ref42,pherc0139-w043,020000,433168,193692,0.9218,134,0.9179,0.9258,0.8550,0.9294
ref42,pherc0139-w043,030000,433168,193692,0.9597,129,0.9610,0.9585,0.9225,0.9635
ref42,pherc0139-w043,040000,433168,193692,0.9713,125,0.9716,0.9710,0.9441,0.9740
ref42,pherc0139-w043,050000,433168,193692,0.9808,125,0.9793,0.9823,0.9623,0.9827
ref42,pherc0139-w043,060000,433168,193692,0.9846,133,0.9837,0.9855,0.9697,0.9862
ref42,pherc0139-w043,075000,433168,193692,0.9888,130,0.9872,0.9904,0.9778,0.9900
ref43,pherc0139-w043,010000,433168,193692,0.8406,125,0.8117,0.8717,0.7251,0.8541
ref43,pherc0139-w043,020000,433168,193692,0.9145,129,0.8981,0.9316,0.8425,0.9231
ref43,pherc0139-w043,030000,433168,193692,0.9474,126,0.9390,0.9559,0.9000,0.9528
ref43,pherc0139-w043,040000,433168,193692,0.9632,131,0.9626,0.9637,0.9290,0.9667
ref43,pherc0139-w043,050000,433168,193692,0.9742,135,0.9740,0.9743,0.9497,0.9767
ref43,pherc0139-w043,060000,433168,193692,0.9807,130,0.9791,0.9823,0.9621,0.9827
ref43,pherc0139-w043,075000,433168,193692,0.9860,134,0.9859,0.9862,0.9724,0.9874
loso42,w035,010000,1069617,333586,0.6450,87,0.5990,0.6988,0.4761,0.7434
loso42,w035,020000,1069617,333586,0.6527,75,0.6188,0.6904,0.4844,0.7488
loso42,w035,030000,1069617,333586,0.6241,77,0.5475,0.7255,0.4536,0.7269
loso42,w035,040000,1069617,333586,0.6316,69,0.5605,0.7233,0.4616,0.7332
loso42,w035,050000,1069617,333586,0.6042,68,0.5758,0.6356,0.4329,0.7117
loso42,w035,060000,1069617,333586,0.6046,67,0.5316,0.7008,0.4333,0.7105
